地市,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
乐山,0.17142857142857143,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.2,1.173913043478261,0.35135135135135137,0.26666666666666666,0.32558139534883723,0.38372093023255816,0.3269230769230769,0.2803738317757009,0.18181818181818182,0.2643171806167401,0.2708333333333333,0.26506024096385544,0.22857142857142856,0.16981132075471697,0.1450381679389313,0.10119047619047619,0.05454545454545454
内江,0.2857142857142857,0.09090909090909091,0.07692307692307693,1.0,1.0,0.0,0.25,0.16666666666666666,0.5185185185185185,0.22807017543859648,0.37037037037037035,0.3233082706766917,0.32432432432432434,0.23015873015873015,0.22105263157894736,0.23529411764705882,0.40358744394618834,0.23469387755102042,0.2571428571428571,0.20535714285714285,0.2076923076923077,0.20245398773006135,0.11764705882352941,0.07024793388429752
凉山彝族自治州,0.425,0.3,0.20833333333333334,0.3333333333333333,0.14285714285714285,0.0,,0.375,0.3157894736842105,0.3684210526315789,0.32954545454545453,0.358695652173913,0.3130434782608696,0.2803738317757009,0.3404255319148936,0.2831858407079646,0.4553191489361702,0.225,0.24742268041237114,0.2692307692307692,0.224,0.18421052631578946,0.15897435897435896,0.11659192825112108
南充,0.21621621621621623,0.20833333333333334,0.2857142857142857,0.08333333333333333,0.14285714285714285,0.4,0.0,0.4782608695652174,0.34615384615384615,0.3049645390070922,0.3394495412844037,0.3739130434782609,0.3941908713692946,0.34915254237288135,0.3475409836065574,0.3289902280130293,0.3987341772151899,0.29225352112676056,0.3103448275862069,0.2532188841201717,0.3213213213213213,0.34507042253521125,0.21144278606965175,0.16348195329087048
宜宾,0.3333333333333333,0.30952380952380953,0.3793103448275862,0.2857142857142857,0.15384615384615385,0.42857142857142855,0.5,0.25,0.22,0.46987951807228917,0.3466666666666667,0.46825396825396826,0.36363636363636365,0.36486486486486486,0.2876712328767123,0.32727272727272727,0.42344045368620037,0.22772277227722773,0.2708333333333333,0.27800829875518673,0.22044728434504793,0.1661631419939577,0.1695906432748538,0.08531746031746032
巴中,0.375,0.22727272727272727,0.5,0.14285714285714285,0.5,0.25,0.16666666666666666,0.3333333333333333,0.4838709677419355,0.49230769230769234,0.42727272727272725,0.45930232558139533,0.3983739837398374,0.5645161290322581,0.5,0.5285714285714286,0.515358361774744,0.45,0.4426229508196721,0.30666666666666664,0.41040462427745666,0.35323383084577115,0.2568306010928962,0.20833333333333334
广元,0.2682926829268293,0.2727272727272727,0.25,0.125,0.0,0.0,0.0,0.0,0.23076923076923078,0.41379310344827586,0.36666666666666664,0.25,0.4230769230769231,0.24096385542168675,0.37962962962962965,0.23148148148148148,0.41578947368421054,0.25316455696202533,0.24175824175824176,0.24509803921568626,0.208,0.15625,0.13636363636363635,0.04060913705583756
广安,0.37735849056603776,0.34615384615384615,0.25,0.0,0.2857142857142857,0.5,0.0,0.2,0.875,0.4057971014492754,0.7762237762237763,0.7101449275362319,0.7358490566037735,0.717391304347826,0.5939086294416244,0.41414141414141414,0.6334164588528678,0.4789473684210526,0.43478260869565216,0.7302631578947368,0.51,0.5435684647302904,0.4523809523809524,0.15021459227467812
德阳,0.28,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.5,0.3125,0.52,0.47540983606557374,0.4578313253012048,0.30357142857142855,0.4492753623188406,0.19718309859154928,0.3150684931506849,0.40625,0.25,0.1875,0.2459016393442623,0.2716049382716049,0.1,0.07692307692307693,0.0430622009569378
成都,0.14935064935064934,0.12790697674418605,0.06756756756756757,0.11363636363636363,0.18181818181818182,0.0625,0.034482758620689655,0.13793103448275862,0.25757575757575757,0.21839080459770116,0.20212765957446807,0.17174515235457063,0.16766467065868262,0.17647058823529413,0.1334841628959276,0.14508928571428573,0.28424015009380865,0.13443396226415094,0.11548556430446194,0.1192214111922141,0.14017094017094017,0.12162162162162163,0.0868421052631579,0.0344
攀枝花,0.047619047619047616,0.07142857142857142,0.0,0.0,0.0,,1.0,0.0,0.125,0.14285714285714285,0.10344827586206896,0.15555555555555556,0.2,0.03508771929824561,0.28888888888888886,0.1282051282051282,0.24742268041237114,0.07692307692307693,0.19230769230769232,0.08928571428571429,0.06451612903225806,0.12195121951219512,0.12643678160919541,0.08196721311475409
泸州,0.5416666666666666,0.3333333333333333,0.4444444444444444,0.5,0.5,0.5,0.0,0.2857142857142857,0.5172413793103449,0.4883720930232558,0.44525547445255476,0.46408839779005523,0.34814814814814815,0.3987341772151899,0.26,0.31645569620253167,0.37809187279151946,0.30434782608695654,0.2748091603053435,0.2230769230769231,0.26732673267326734,0.20930232558139536,0.16203703703703703,0.1
甘孜藏族自治州,0.0,0.0,0.0,0.3333333333333333,,,,0.0,0.0,0.25,0.7777777777777778,1.0,0.7272727272727273,0.23076923076923078,0.18181818181818182,0.08333333333333333,0.45714285714285713,0.4,0.2222222222222222,0.17647058823529413,0.05555555555555555,0.045454545454545456,0.08,0.02702702702702703
眉山,0.2413793103448276,0.13333333333333333,0.125,0.0,0.0,0.0,,0.0,0.25,0.4444444444444444,0.10344827586206896,0.22413793103448276,0.1,0.20833333333333334,0.23300970873786409,0.16981132075471697,0.3448275862068966,0.1574074074074074,0.1875,0.056818181818181816,0.09565217391304348,0.10256410256410256,0.10655737704918032,0.031578947368421054
绵阳,0.08333333333333333,0.08695652173913043,0.2,0.1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.15,0.30612244897959184,0.3017241379310345,0.1724137931034483,0.15517241379310345,0.16296296296296298,0.09022556390977443,0.1513157894736842,0.32320441988950277,0.21232876712328766,0.1896551724137931,0.16521739130434782,0.13368983957219252,0.10126582278481013,0.07234042553191489,0.021806853582554516
